url_cidade,codigo_cidade,cidade,uf
http://www.cptec.inpe.br/cidades/tempo/5199,5199,SETE LAGOAS,MG
http://www.cptec.inpe.br/cidades/tempo/874,874,BOA HORA,PI
http://www.cptec.inpe.br/cidades/tempo/910,910,BOM JESUS,PI
http://www.cptec.inpe.br/cidades/tempo/3207,3207,MATO CASTELHANO,RS
http://www.cptec.inpe.br/cidades/tempo/4064,4064,PLATINA,SP
http://www.cptec.inpe.br/cidades/tempo/3185,3185,MASSARANDUBA,PB
http://www.cptec.inpe.br/cidades/tempo/2249,2249,GUATAPARÁ,SP
http://www.cptec.inpe.br/cidades/tempo/5390,5390,TIBAU,RN
http://www.cptec.inpe.br/cidades/tempo/2069,2069,FRANCO DA ROCHA,SP
http://www.cptec.inpe.br/cidades/tempo/2602,2602,ITAPOROROCA,PB
http://www.cptec.inpe.br/cidades/tempo/5385,5385,TESOURO,MT
http://www.cptec.inpe.br/cidades/tempo/3978,3978,PINDOBA,AL
http://www.cptec.inpe.br/cidades/tempo/2564,2564,ITAPACI,GO
http://www.cptec.inpe.br/cidades/tempo/4129,4129,PORTO ALEGRE DO TOCANTINS,TO
http://www.cptec.inpe.br/cidades/tempo/2900,2900,LAGOA DOS RODRIGUES,MA
http://www.cptec.inpe.br/cidades/tempo/4701,4701,SANTO AMARO DO MARANHÃO,MA
http://www.cptec.inpe.br/cidades/tempo/4995,4995,SÃO MATEUS DO SUL,PR
http://www.cptec.inpe.br/cidades/tempo/1122,1122,CAJAMAR,SP
http://www.cptec.inpe.br/cidades/tempo/1776,1776,DIANÓPOLIS,TO
http://www.cptec.inpe.br/cidades/tempo/1753,1753,DELFIM MOREIRA,MG
http://www.cptec.inpe.br/cidades/tempo/4047,4047,PITANGUI,MG
http://www.cptec.inpe.br/cidades/tempo/3043,3043,MACUCO,RJ
http://www.cptec.inpe.br/cidades/tempo/4485,4485,SALGADO DE SÃO FÉLIX,PB
http://www.cptec.inpe.br/cidades/tempo/4697,4697,SANTO AFONSO,MT
http://www.cptec.inpe.br/cidades/tempo/868,868,BLUMENAU,SC
http://www.cptec.inpe.br/cidades/tempo/1053,1053,CABECEIRA GRANDE,MG
http://www.cptec.inpe.br/cidades/tempo/2348,2348,IEPÊ,SP
http://www.cptec.inpe.br/cidades/tempo/4219,4219,PRIMAVERA DO LESTE,MT
http://www.cptec.inpe.br/cidades/tempo/3032,3032,MACATUBA,SP
http://www.cptec.inpe.br/cidades/tempo/4972,4972,SÃO LOURENÇO DA SERRA,SP
http://www.cptec.inpe.br/cidades/tempo/1795,1795,DIVISA ALEGRE,MG
http://www.cptec.inpe.br/cidades/tempo/2746,2746,JARDIM DE PIRANHAS,RN
http://www.cptec.inpe.br/cidades/tempo/1366,1366,CARNAUBAIS,RN
http://www.cptec.inpe.br/cidades/tempo/3405,3405,MULUNGU,PB
http://www.cptec.inpe.br/cidades/tempo/5553,5553,URUAÇU,GO
http://www.cptec.inpe.br/cidades/tempo/739,739,BARBOSA,SP
http://www.cptec.inpe.br/cidades/tempo/1061,1061,CABRÁLIA PAULISTA,SP
http://www.cptec.inpe.br/cidades/tempo/4133,4133,PORTO CALVO,AL
http://www.cptec.inpe.br/cidades/tempo/2372,2372,IGUATU,CE
http://www.cptec.inpe.br/cidades/tempo/5879,5879,SANTA CRUZ,ES
http://www.cptec.inpe.br/cidades/tempo/5559,5559,URUCÂNIA,MG
http://www.cptec.inpe.br/cidades/tempo/2955,2955,LAVRAS DA MANGABEIRA,CE
http://www.cptec.inpe.br/cidades/tempo/4484,4484,SALGADO,SE
http://www.cptec.inpe.br/cidades/tempo/3796,3796,PARECI NOVO,RS
http://www.cptec.inpe.br/cidades/tempo/2563,2563,ITAOCARA,RJ
http://www.cptec.inpe.br/cidades/tempo/5122,5122,SELBACH,RS
http://www.cptec.inpe.br/cidades/tempo/4434,4434,RODELAS,BA
http://www.cptec.inpe.br/cidades/tempo/1613,1613,CORINTO,MG
http://www.cptec.inpe.br/cidades/tempo/3630,3630,OLHOS-D´ÁGUA,MG
http://www.cptec.inpe.br/cidades/tempo/2166,2166,GRAÇA ARANHA,MA
http://www.cptec.inpe.br/cidades/tempo/534,534,AQUIDAUANA,MS
http://www.cptec.inpe.br/cidades/tempo/1822,1822,DOM VIÇOSO,MG
http://www.cptec.inpe.br/cidades/tempo/5596,5596,VARGEM GRANDE DO RIO PARDO,MG
http://www.cptec.inpe.br/cidades/tempo/2973,2973,LIMA DUARTE,MG
http://www.cptec.inpe.br/cidades/tempo/3231,3231,MEDEIROS NETO,BA
http://www.cptec.inpe.br/cidades/tempo/2930,2930,LAJES,RN
http://www.cptec.inpe.br/cidades/tempo/5273,5273,TABATINGA,SP
http://www.cptec.inpe.br/cidades/tempo/4400,4400,RIO LARGO,AL
http://www.cptec.inpe.br/cidades/tempo/4786,4786,SÃO DOMINGOS DO ARAGUAIA,PA
http://www.cptec.inpe.br/cidades/tempo/319,319,ÁGUAS MORNAS,SC
http://www.cptec.inpe.br/cidades/tempo/4824,4824,SÃO FRANCISCO DO PIAUÍ,PI
http://www.cptec.inpe.br/cidades/tempo/1215,1215,CAMPOS ALTOS,MG
http://www.cptec.inpe.br/cidades/tempo/3068,3068,MALHADA DE PEDRAS,BA
http://www.cptec.inpe.br/cidades/tempo/630,630,ARNEIROZ,CE
http://www.cptec.inpe.br/cidades/tempo/3065,3065,MAJOR VIEIRA,SC
http://www.cptec.inpe.br/cidades/tempo/3514,3514,NOVA FÁTIMA,PR
http://www.cptec.inpe.br/cidades/tempo/1682,1682,CRISTALINA,GO
http://www.cptec.inpe.br/cidades/tempo/2402,2402,INDAIATUBA,SP
http://www.cptec.inpe.br/cidades/tempo/1778,1778,DILERMANDO DE AGUIAR,RS
http://www.cptec.inpe.br/cidades/tempo/457,457,ANAJÁS,PA
http://www.cptec.inpe.br/cidades/tempo/5146,5146,SENHORA DOS REMÉDIOS,MG
http://www.cptec.inpe.br/cidades/tempo/1898,1898,EREBANGO,RS
http://www.cptec.inpe.br/cidades/tempo/1256,1256,CANELINHA,SC
http://www.cptec.inpe.br/cidades/tempo/3611,3611,NOVO TIRADENTES,RS
http://www.cptec.inpe.br/cidades/tempo/1547,1547,COMERCINHO,MG
http://www.cptec.inpe.br/cidades/tempo/3198,3198,MATHIAS LOBATO,MG
http://www.cptec.inpe.br/cidades/tempo/3092,3092,MANHUMIRIM,MG
http://www.cptec.inpe.br/cidades/tempo/986,986,BRASILEIRA,PI
http://www.cptec.inpe.br/cidades/tempo/4542,4542,SANTA CRUZ DA ESPERANÇA,SP
http://www.cptec.inpe.br/cidades/tempo/1643,1643,CORRENTINA,BA
http://www.cptec.inpe.br/cidades/tempo/1375,1375,CARRAPATEIRA,PB
http://www.cptec.inpe.br/cidades/tempo/4716,4716,SANTO ANTÔNIO DE POSSE,SP
http://www.cptec.inpe.br/cidades/tempo/5201,5201,SETUBINHA,MG
http://www.cptec.inpe.br/cidades/tempo/3791,3791,PARAÚ,RN
http://www.cptec.inpe.br/cidades/tempo/5523,5523,UIRAMUTÃ,RR
http://www.cptec.inpe.br/cidades/tempo/2229,2229,GUARANTÃ,SP
http://www.cptec.inpe.br/cidades/tempo/1554,1554,CONCEIÇÃO DAS ALAGOAS,MG
http://www.cptec.inpe.br/cidades/tempo/1136,1136,CALDAS,MG
http://www.cptec.inpe.br/cidades/tempo/5324,5324,TAPIRATIBA,SP
http://www.cptec.inpe.br/cidades/tempo/375,375,ALTA FLORESTA,MT
http://www.cptec.inpe.br/cidades/tempo/1770,1770,DIAMANTE,PB
http://www.cptec.inpe.br/cidades/tempo/2143,2143,GOIÁS,GO
http://www.cptec.inpe.br/cidades/tempo/387,387,ALTO ALEGRE,SP
http://www.cptec.inpe.br/cidades/tempo/3980,3980,PINDORAMA,SP
http://www.cptec.inpe.br/cidades/tempo/3687,3687,PACATUBA,CE
http://www.cptec.inpe.br/cidades/tempo/3141,3141,MARECHAL FLORIANO,ES
http://www.cptec.inpe.br/cidades/tempo/4811,4811,SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI
http://www.cptec.inpe.br/cidades/tempo/942,942,BONFIM DO PIAUÍ,PI
http://www.cptec.inpe.br/cidades/tempo/4173,4173,PRACUÚBA,AP
http://www.cptec.inpe.br/cidades/tempo/2177,2177,GRÃO PARÁ,SC
http://www.cptec.inpe.br/cidades/tempo/5646,5646,VIANA,ES
http://www.cptec.inpe.br/cidades/tempo/1091,1091,CACIMBAS,PB
http://www.cptec.inpe.br/cidades/tempo/652,652,ASSIS BRASIL,AC
http://www.cptec.inpe.br/cidades/tempo/3261,3261,MINADOR DO NEGRÃO,AL
http://www.cptec.inpe.br/cidades/tempo/2594,2594,ITAPIÚNA,CE
http://www.cptec.inpe.br/cidades/tempo/1636,1636,CÓRREGO DO BOM JESUS,MG
http://www.cptec.inpe.br/cidades/tempo/1518,1518,COCALZINHO DE GOIÁS,GO
http://www.cptec.inpe.br/cidades/tempo/5506,5506,UAUÁ,BA
http://www.cptec.inpe.br/cidades/tempo/3178,3178,MARTINS SOARES,MG
http://www.cptec.inpe.br/cidades/tempo/689,689,BACABEIRA,MA
http://www.cptec.inpe.br/cidades/tempo/4427,4427,RIVERSUL,SP
http://www.cptec.inpe.br/cidades/tempo/1400,1400,CASTELO,ES
http://www.cptec.inpe.br/cidades/tempo/5144,5144,SENHORA DE OLIVEIRA,MG
http://www.cptec.inpe.br/cidades/tempo/1709,1709,CRUZMALTINA,PR
http://www.cptec.inpe.br/cidades/tempo/2982,2982,LINDÓIA DO SUL,SC
http://www.cptec.inpe.br/cidades/tempo/4027,4027,PIRAPORA,MG
http://www.cptec.inpe.br/cidades/tempo/1019,1019,BRUNÓPOLIS,SC
http://www.cptec.inpe.br/cidades/tempo/3360,3360,MONTEZUMA,MG
http://www.cptec.inpe.br/cidades/tempo/5284,5284,TACURU,MS
http://www.cptec.inpe.br/cidades/tempo/3342,3342,MONTE CASTELO,SC
http://www.cptec.inpe.br/cidades/tempo/1939,1939,ESTRELA DO NORTE,SP
http://www.cptec.inpe.br/cidades/tempo/2477,2477,IRAQUARA,BA
http://www.cptec.inpe.br/cidades/tempo/4882,4882,SÃO JOÃO DO MANHUAÇU,MG
http://www.cptec.inpe.br/cidades/tempo/1986,1986,FELIZ DESERTO,AL
http://www.cptec.inpe.br/cidades/tempo/3849,3849,PAULÍNIA,SP
http://www.cptec.inpe.br/cidades/tempo/2896,2896,LAGOA DO SÍTIO,PI
http://www.cptec.inpe.br/cidades/tempo/5761,5761,PAULO BENTO,RS
http://www.cptec.inpe.br/cidades/tempo/981,981,BRASILÂNDIA,MS
http://www.cptec.inpe.br/cidades/tempo/1065,1065,CAÇAPAVA,SP
http://www.cptec.inpe.br/cidades/tempo/3168,3168,MARIZÓPOLIS,PB
http://www.cptec.inpe.br/cidades/tempo/4665,4665,SANTANA DA PONTE PENSA,SP
http://www.cptec.inpe.br/cidades/tempo/2078,2078,FREI ROGÉRIO,SC
http://www.cptec.inpe.br/cidades/tempo/5415,5415,TOMAR DO GERU,SE
http://www.cptec.inpe.br/cidades/tempo/1485,1485,CHAVANTES,SP
http://www.cptec.inpe.br/cidades/tempo/5888,5888,SUCURIJU,AP
http://www.cptec.inpe.br/cidades/tempo/606,606,ARCOS,MG
http://www.cptec.inpe.br/cidades/tempo/3525,3525,NOVA INDEPENDÊNCIA,SP
http://www.cptec.inpe.br/cidades/tempo/4417,4417,RIO RUFINO,SC
http://www.cptec.inpe.br/cidades/tempo/1137,1137,CALDAS BRANDÃO,PB
http://www.cptec.inpe.br/cidades/tempo/1626,1626,CORONEL JOÃO SÁ,BA
http://www.cptec.inpe.br/cidades/tempo/2684,2684,JACINTO,MG
http://www.cptec.inpe.br/cidades/tempo/2680,2680,JACAREÍ,SP
http://www.cptec.inpe.br/cidades/tempo/3465,3465,NOBRES,MT
http://www.cptec.inpe.br/cidades/tempo/1326,1326,CARAÚBAS,RN
http://www.cptec.inpe.br/cidades/tempo/4740,4740,SANTO CRISTO,RS
http://www.cptec.inpe.br/cidades/tempo/1314,1314,CARACOL,MS
http://www.cptec.inpe.br/cidades/tempo/4156,4156,PORTO VERA CRUZ,RS
http://www.cptec.inpe.br/cidades/tempo/4721,4721,SANTO ANTÔNIO DO DESCOBERTO,GO
http://www.cptec.inpe.br/cidades/tempo/2891,2891,LAGOA DO CARRO,PE
http://www.cptec.inpe.br/cidades/tempo/4324,4324,RIACHO DA CRUZ,RN
http://www.cptec.inpe.br/cidades/tempo/830,830,BELO JARDIM,PE
http://www.cptec.inpe.br/cidades/tempo/2194,2194,GUAIÚBA,CE
http://www.cptec.inpe.br/cidades/tempo/4594,4594,SANTA LUZIA DO PARÁ,PA
http://www.cptec.inpe.br/cidades/tempo/4980,4980,SÃO LUIS DO PIAUÍ,PI
http://www.cptec.inpe.br/cidades/tempo/1096,1096,CAÇU,GO
http://www.cptec.inpe.br/cidades/tempo/3163,3163,MÁRIO CAMPOS,MG
http://www.cptec.inpe.br/cidades/tempo/2577,2577,ITAPERUNA,RJ
http://www.cptec.inpe.br/cidades/tempo/2962,2962,LENÇÓIS,BA
http://www.cptec.inpe.br/cidades/tempo/5742,5742,PIUMHI,MG
http://www.cptec.inpe.br/cidades/tempo/5502,5502,TURVO,SC
http://www.cptec.inpe.br/cidades/tempo/2133,2133,GOIABEIRA,MG
http://www.cptec.inpe.br/cidades/tempo/3906,3906,PEDRO OSÓRIO,RS
http://www.cptec.inpe.br/cidades/tempo/3305,3305,MOITA BONITA,SE
http://www.cptec.inpe.br/cidades/tempo/5071,5071,SÃO SIMÃO,GO
http://www.cptec.inpe.br/cidades/tempo/4404,4404,RIO NEGRO,MS
